store,tel,jibeon addr,road addr,gu,main food,reg date
라장 훠궈,,서울특별시 서대문구 창천동  33번지 4호  ,"서울특별시 서대문구 연세로 37, 지하1층 (창천동)",서대문구,모듬초밥,2023-05-20
하남돼지집,,서울특별시 서대문구 충정로2가  89번지  ,"서울특별시 서대문구 충정로 71-1, (충정로2가)",서대문구,참치정식,2023-05-20
"배영만 당진 아구동태찜,탕",,서울특별시 서대문구 남가좌동  338번지 1호  B동 1층,"서울특별시 서대문구 증가로 123, (남가좌동, B동 1층)",서대문구,해장국,2023-05-20
어바웃샤브 서대문점,,서울특별시 서대문구 충정로2가  91번지 2호  ,"서울특별시 서대문구 충정로 71, (충정로2가)",서대문구,샤브샤브,2023-05-20
이코노스시,,서울특별시 서대문구 대현동  101번지 5호  ,"서울특별시 서대문구 신촌역로 14, (대현동)",서대문구,회덮밥,2023-05-20
국가대패 북가좌점,,서울특별시 서대문구 북가좌동  307번지 4호  ,"서울특별시 서대문구 응암로 63, (북가좌동)",서대문구,돼지고기구이,2023-05-20
연희녹두삼계탕,,"서울특별시 서대문구 연희동  133번지 20호  (지하1층,지상1,2층)","서울특별시 서대문구 연희맛로 43-1, (연희동,(지하1층,지상1,2층))",서대문구,삼계탕,2023-05-20
원조부안집 서대문점,,서울특별시 서대문구 냉천동  184번지 29호  1층,"서울특별시 서대문구 통일로9안길 22, 1층 (냉천동)",서대문구,"갈비탕,찜",2023-05-20
맛있는 순두부,,서울특별시 서대문구 창천동  5번지 56호  ,"서울특별시 서대문구 명물길 36, (창천동)",서대문구,순두부,2023-05-20
보길도활어회,,서울특별시 서대문구 북아현동  180번지 17호  ,"서울특별시 서대문구 북아현로 67-1, (북아현동)",서대문구,회,2023-05-20
오징어 세상,,서울특별시 서대문구 연희동  189번지 13호  ,"서울특별시 서대문구 연희맛로 7-6, (연희동)",서대문구,파스타,2023-05-20
명당횟집,,서울특별시 서대문구 북가좌동  309번지 1호  ,"서울특별시 서대문구 응암로 87, (북가좌동)",서대문구,생선회,2023-05-20
충정각,,서울특별시 서대문구 충정로3가  360번지 22호  (지상1층),"서울특별시 서대문구 충정로2길 8, (충정로3가,(지상1층))",서대문구,파스타,2023-05-20
원조부안집 서대문점,,서울특별시 서대문구 냉천동  184번지 29호  1층,"서울특별시 서대문구 통일로9안길 22, 1층 (냉천동)",서대문구,동태탕.해물찜,2023-05-20
한방장수삼계탕,,서울특별시 서대문구 미근동  167번지 0호  ,"서울특별시 서대문구 통일로 111, (미근동)",서대문구,삼계탕,2023-05-20
하노이의아침,,서울특별시 서대문구 연희동  188번지 16호  지상1층,"서울특별시 서대문구 연희맛로 10, (연희동,지상1층)",서대문구,베트남음식,2023-05-20
한옥집,,서울특별시 서대문구 냉천동  20번지 1호  1층,"서울특별시 서대문구 통일로9길 12, 1층 (냉천동)",서대문구,해물찜. 해산물요리,2023-05-20
민스키친,,서울특별시 서대문구 연희동  189번지 11호  ,"서울특별시 서대문구 연희맛로 7, (연희동)",서대문구,콩나물냉채,2023-05-20
마포참숯불갈비,,"서울특별시 서대문구 북가좌동  335번지 9호  ,40","서울특별시 서대문구 응암로 145, (북가좌동,,40)",서대문구,갈비.삼겹살,2023-05-20
한솔숯불식당,,서울특별시 서대문구 북가좌동  294번지 15호  (지상1층),"서울특별시 서대문구 증가로23나길 32, (북가좌동,(지상1층))",서대문구,갈비.해물,2023-05-20
안동명가,,서울특별시 서대문구 북가좌동  392번지 26호  1층,"서울특별시 서대문구 수색로 127, 1층 (북가좌동)",서대문구,해장국.감자탕,2023-05-20
오계절 남원추어탕,,서울특별시 서대문구 홍은동  274번지 20호  2층 일부,"서울특별시 서대문구 연희로 267, 2층 (홍은동)",서대문구,추어탕,2023-05-20
강수사,,"서울특별시 서대문구 연희동  81번지 16호  1,2층","서울특별시 서대문구 연희로 157, (연희동, 1,2층)",서대문구,초밥.회정식,2023-05-20
미소,,서울특별시 서대문구 충정로2가  191번지  유원골든타워 지하1층,"서울특별시 서대문구 충정로 53, (충정로2가,유원골든타워 지하1층)",서대문구,모듬회.회정식,2023-05-20
춘향골 남원추어탕,,서울특별시 서대문구 홍은동  430번지 11호  가호,"서울특별시 서대문구 연희로 262-17, (홍은동,가호)",서대문구,추어탕,2023-05-20
이화정,,"서울특별시 서대문구 연희동  189번지 8호  (지하1층,지상1,2층)","서울특별시 서대문구 연희맛로 13, (연희동,(지하1층,지상1,2층))",서대문구,탕수육.자장면,2023-05-20
거북이집,,서울특별시 서대문구 연희동  188번지 11호  ,"서울특별시 서대문구 연희맛로 12-1, (연희동)",서대문구,한정식,2023-05-20
영화반점,,서울특별시 서대문구 북아현동  130번지 11호  (지상1층),"서울특별시 서대문구 북아현로2길 5, (북아현동,(지상1층))",서대문구,"탕수육,자장면",2023-05-20
평택고여사집냉면,,서울특별시 서대문구 연희동  193번지 13호  (지상1층),"서울특별시 서대문구 연희로 81-9, (연희동,(지상1층))",서대문구,평양식 물냉면,2023-05-20
장어세상,,서울특별시 서대문구 북가좌동  371번지 11호  ,"서울특별시 서대문구 수색로10길 11, (북가좌동)",서대문구,돼지갈비,2023-05-20
"장인 얼큰이 칼국수,보쌈",,서울특별시 서대문구 냉천동  184번지 4호  (지상1층),"서울특별시 서대문구 통일로9안길 20-16, (냉천동,(지상1층))",서대문구,추어탕,2023-05-20
에바다 생고기,,서울특별시 서대문구 홍제동  373번지  태영으뜸아파트,"서울특별시 서대문구 세검정로3길 63, 2105, 2106, 2107호 (홍제동, 태영으뜸아파트)",서대문구,쌈밥.생태찌게,2023-05-20
보길도활어회,,서울특별시 서대문구 북아현동  180번지 17호  ,"서울특별시 서대문구 북아현로 67-1, (북아현동)",서대문구,모듬회,2023-05-20
사조참치전문점,,서울특별시 서대문구 충정로2가  157번지 0호  ,"서울특별시 서대문구 통일로 107-39, (충정로2가)",서대문구,참치회,2023-05-20
명인강메밀,,서울특별시 서대문구 충정로3가  190번지 5호  1층 일부,"서울특별시 서대문구 충정로 43-4, 유석빌딩 1층 (충정로3가)",서대문구,김지.된장찌게.  메밀,2023-05-20
홍콩반점0410(신촌2호점),,서울특별시 서대문구 창천동  13번지 29호  ,"서울특별시 서대문구 명물길 14, 지층 (창천동)",서대문구,짬뽕.탕수육,2023-05-20
사조미가,,서울특별시 서대문구 충정로2가  157번지  2층,"서울특별시 서대문구 통일로 107-39, 2층 (충정로2가)",서대문구,한정식,2023-05-20
사조미가,,서울특별시 서대문구 충정로2가  157번지  2층,"서울특별시 서대문구 통일로 107-39, 2층 (충정로2가)",서대문구,정식,2023-05-20
주식회사 목란,,서울특별시 서대문구 연희동  132번지 28호  ,"서울특별시 서대문구 연희로15길 21, (연희동)",서대문구,해장국.감자탕,2023-05-20
굴대박,,"서울특별시 서대문구 냉천동  26번지  (지상1,2층)","서울특별시 서대문구 독립문로 66-1, (냉천동,(지상1,2층))",서대문구,굴밥.굴요리,2023-05-20
홍제솥뚜껑 삼겹살,,서울특별시 서대문구 홍제동  334번지 85호  (지상1층),"서울특별시 서대문구 홍제내길 128, (홍제동,(지상1층))",서대문구,대구뽈살,2023-05-20
신촌차돌구이,,서울특별시 서대문구 창천동  18번지 12호  ,"서울특별시 서대문구 연세로2가길 17, (창천동)",서대문구,등심,2023-05-20
한우명가,,서울특별시 서대문구 연희동  353번지 111호  ,"서울특별시 서대문구 연희로 46-1, (연희동)",서대문구,소갈비,2023-05-20
동강참치,,서울특별시 서대문구 대현동  104번지 39호  대한일보신촌지국,"서울특별시 서대문구 연세로2길 83, 대한일보신촌지국 (대현동)",서대문구,회정식,2023-05-20
월순 철판 동태찜,,서울특별시 서대문구 연희동  130번지 10호  ,"서울특별시 서대문구 연희맛로 17-14, 지상1층 (연희동)",서대문구,동태찜,2023-05-20
채선당(신촌점),,서울특별시 서대문구 창천동  33번지 43호  (지하1층),"서울특별시 서대문구 연세로 23, (창천동,(지하1층))",서대문구,샤브샤브,2023-05-20
함평면옥,,서울특별시 서대문구 대신동  85번지  하늬솔빌딩 2층,"서울특별시 서대문구 성산로 533, 하늬솔빌딩 2층 (대신동)",서대문구,갈비탕,2023-05-20
참이맛감자탕,,서울특별시 서대문구 홍제동  315번지 0호  ,"서울특별시 서대문구 통일로37길 22, (홍제동)",서대문구,감자탕,2023-05-20
지호한방삼계탕 연희점,,서울특별시 서대문구 연희동  78번지 20호  (지하1층~지상1층),"서울특별시 서대문구 연희로25길 10, (연희동,(지하1층~지상1층))",서대문구,삼계탕,2023-05-20
백년추어탕,,서울특별시 서대문구 연희동  133번지 1호  ,"서울특별시 서대문구 증가로 9, (연희동)",서대문구,추어탕,2023-05-20
김덕후의 차돌조,,서울특별시 서대문구 창천동  57번지 55호  1층,"서울특별시 서대문구 연세로5가길 20, 1층 (창천동)",서대문구,해장국,2023-05-20
닭한마리,,서울특별시 서대문구 대현동  104번지 69호  외 1필지(지상1층),"서울특별시 서대문구 연세로2길 77, (대현동)",서대문구,닭한마리,2023-05-20
김인옥의 충정로 함흥냉면,,서울특별시 서대문구 충정로3가  476번지  구세군빌딩,"서울특별시 서대문구 충정로 7, 구세군빌딩 지하2층 1호 (충정로3가)",서대문구,냉면,2023-05-20
연희옥 연희본점,,서울특별시 서대문구 연희동  188번지 55호  외 1필지(188-56) 1층,"서울특별시 서대문구 연희로 81-26, 1층 (연희동)",서대문구,일식,2023-05-20
차이나,,서울특별시 서대문구 홍은동  343번지 1호  ,"서울특별시 서대문구 가좌로 142, (홍은동)",서대문구,,2023-05-20
거북골숯불갈비,,서울특별시 서대문구 북가좌동  291번지 4호  ,"서울특별시 서대문구 증가로 215, (북가좌동)",서대문구,한식,2023-05-20
식껍(서대문역점),,서울특별시 서대문구 충정로2가  16번지 13호  1층,"서울특별시 서대문구 통일로9안길 26, 1층 (충정로2가)",서대문구,,2023-05-20
녹원,,서울특별시 서대문구 연희동  82번지 3호  지상1층,"서울특별시 서대문구 연희로25길 22, (연희동,지상1층)",서대문구,쌈밥,2023-05-20
신원당감자탕,,서울특별시 서대문구 미근동  320번지 0호  ,"서울특별시 서대문구 서소문로 63, (미근동)",서대문구,뼈해장국,2023-05-20
엄지식당,,서울특별시 서대문구 연희동  171번지 1호  ,"서울특별시 서대문구 모래내로 376-7, (연희동)",서대문구,갈비탕,2023-05-20
황토골 옹기집,,"서울특별시 서대문구 충정로3가  464번지  충정타워빌딩 117,118호 (지하1층)","서울특별시 서대문구 서소문로 21, 충정타워빌딩 117,118호 (충정로3가)",서대문구,,2023-05-20
아미산,,서울특별시 서대문구 연희동  168번지 11호  지하1층~지상2층,"서울특별시 서대문구 연희로32길 151, 지하1~지상2층 (연희동)",서대문구,자장면,2023-05-20
황토골 옹기집,,"서울특별시 서대문구 충정로3가  464번지  충정타워빌딩 117,118호 (지하1층)","서울특별시 서대문구 서소문로 21, 충정타워빌딩 117,118호 (충정로3가)",서대문구,오리훈제,2023-05-20
신촌영양센타,,서울특별시 서대문구 창천동  13번지 37호  (지상1층),"서울특별시 서대문구 연세로4길 34, (창천동,(지상1층))",서대문구,삼계탕,2023-05-20
벽제갈비,,"서울특별시 서대문구 창천동  13번지 20호  ,13-109, 13-114 (지하1층, 지상2,3층)","서울특별시 서대문구 명물길 22, (창천동,,13-109, 13-114 (지하1층, 지상2,3층))",서대문구,소갈비,2023-05-20
사조미가,,서울특별시 서대문구 충정로2가  157번지  2층,"서울특별시 서대문구 통일로 107-39, 2층 (충정로2가)",서대문구,,2023-05-20
가빈 커피(GABEAN cafe),,서울특별시 서대문구 창천동  2번지 23호  ,"서울특별시 서대문구 명물길 49, 2층 (창천동)",서대문구,일식,2023-05-20
가화만사성,,서울특별시 서대문구 창천동  57번지 8호  2층,"서울특별시 서대문구 연세로5가길 1, 2층 (창천동)",서대문구,일식,2023-05-20
따봉이네,,서울특별시 서대문구 대현동  110번지 66호  1층,"서울특별시 서대문구 신촌역로 19, 1층 (대현동)",서대문구,비빔밥,2023-05-20
가화만사성,,서울특별시 서대문구 창천동  57번지 8호  2층,"서울특별시 서대문구 연세로5가길 1, 2층 (창천동)",서대문구,참치회,2023-05-20
따봉이네,,서울특별시 서대문구 대현동  110번지 66호  1층,"서울특별시 서대문구 신촌역로 19, 1층 (대현동)",서대문구,한식,2023-05-20
옛날집,,서울특별시 서대문구 연희동  76번지 24호  ,"서울특별시 서대문구 연희로 188-1, (연희동)",서대문구,,2023-05-20
옛날집,,서울특별시 서대문구 연희동  76번지 24호  ,"서울특별시 서대문구 연희로 188-1, (연희동)",서대문구,한식,2023-05-20
옛날집,,서울특별시 서대문구 연희동  76번지 24호  ,"서울특별시 서대문구 연희로 188-1, (연희동)",서대문구,쌈밥,2023-05-20
가빈 커피(GABEAN cafe),,서울특별시 서대문구 창천동  2번지 23호  ,"서울특별시 서대문구 명물길 49, 2층 (창천동)",서대문구,생선회,2023-05-20
연희옥 연희본점,,서울특별시 서대문구 연희동  188번지 55호  외 1필지(188-56) 1층,"서울특별시 서대문구 연희로 81-26, 1층 (연희동)",서대문구,참치,2023-05-20
이코노스시,,서울특별시 서대문구 대현동  101번지 5호  ,"서울특별시 서대문구 신촌역로 14, (대현동)",서대문구,초밥,2023-05-20
명숯불갈비,,서울특별시 서대문구 홍제동  299번지 7호  1층,"서울특별시 서대문구 통일로 470, 1층 (홍제동)",서대문구,돼지갈비,2023-05-20
장어세상,,서울특별시 서대문구 홍은동  48번지 185호  ,"서울특별시 서대문구 세검정로 11, (홍은동)",서대문구,생선회,2023-05-20
난향,,서울특별시 서대문구 창천동  72번지 21호  ,"서울특별시 서대문구 신촌로 67, (창천동)",서대문구,자장면,2023-05-20
난향,,서울특별시 서대문구 창천동  72번지 21호  ,"서울특별시 서대문구 신촌로 67, (창천동)",서대문구,중식,2023-05-20
이코노스시,,서울특별시 서대문구 대현동  101번지 5호  ,"서울특별시 서대문구 신촌역로 14, (대현동)",서대문구,일식,2023-05-20
압구정샤브샤브,,서울특별시 서대문구 대신동  50번지 1호  ,"서울특별시 서대문구 연대동문길 26, (대신동)",서대문구,샤브샤브,2023-05-20
난향,,서울특별시 서대문구 창천동  72번지 21호  ,"서울특별시 서대문구 신촌로 67, (창천동)",서대문구,사천자장면,2023-05-20
압구정샤브샤브,,서울특별시 서대문구 대신동  50번지 1호  ,"서울특별시 서대문구 연대동문길 26, (대신동)",서대문구,한식,2023-05-20
만해,,"서울특별시 서대문구 연희동  149번지 3호  24,28,55,58","서울특별시 서대문구 연희로 218, (연희동,24,28,55,58)",서대문구,회정식,2023-05-20
무교동낙지(신촌점),,서울특별시 서대문구 창천동  30번지 11호  외1필지,"서울특별시 서대문구 신촌로 87-4, (창천동,외1필지)",서대문구,낙지볶음,2023-05-20
주식회사 목란,,서울특별시 서대문구 연희동  132번지 28호  ,"서울특별시 서대문구 연희로15길 21, (연희동)",서대문구,한식,2023-05-20
주식회사 목란,,서울특별시 서대문구 연희동  132번지 28호  ,"서울특별시 서대문구 연희로15길 21, (연희동)",서대문구,소등심,2023-05-20
만해,,"서울특별시 서대문구 연희동  149번지 3호  24,28,55,58","서울특별시 서대문구 연희로 218, (연희동,24,28,55,58)",서대문구,일식,2023-05-20
포티드,,서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),"서울특별시 서대문구 명물길 36-3, (창천동,외 1필지 (지상1층))",서대문구,쌀국수,2023-05-20
포티드,,서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),"서울특별시 서대문구 명물길 36-3, (창천동,외 1필지 (지상1층))",서대문구,한식,2023-05-20
포티드,,서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),"서울특별시 서대문구 명물길 36-3, (창천동,외 1필지 (지상1층))",서대문구,쌀국수,2023-05-20
무교동낙지(신촌점),,서울특별시 서대문구 창천동  30번지 11호  외1필지,"서울특별시 서대문구 신촌로 87-4, (창천동,외1필지)",서대문구,한식,2023-05-20
신촌 장군집,,서울특별시 서대문구 창천동  52번지 32호  1층 일부,"서울특별시 서대문구 연세로9길 22, 1층 (창천동)",서대문구,한식,2023-05-20
일화성,,서울특별시 서대문구 연희동  141번지 34호  (지하1층),"서울특별시 서대문구 연희로36길 26, (연희동,(지하1층))",서대문구,짬봉,2023-05-20
청송면옥,,서울특별시 서대문구 연희동  193번지 6호  ,"서울특별시 서대문구 연희맛로 6, (연희동)",서대문구,냉면,2023-05-20
청송면옥,,서울특별시 서대문구 연희동  193번지 6호  ,"서울특별시 서대문구 연희맛로 6, (연희동)",서대문구,한식,2023-05-20
일화성,,서울특별시 서대문구 연희동  141번지 34호  (지하1층),"서울특별시 서대문구 연희로36길 26, (연희동,(지하1층))",서대문구,중식,2023-05-20
무사시,,서울특별시 서대문구 창천동  20번지 99호  ,"서울특별시 서대문구 신촌로 125, (창천동)",서대문구,일식식,2023-05-20
고향촌,,서울특별시 서대문구 충정로2가  16번지 20호  ,"서울특별시 서대문구 통일로9안길 28-5, (충정로2가)",서대문구,,2023-05-20
유성한우촌,,서울특별시 서대문구 북아현동  1번지 233호  ,"서울특별시 서대문구 북아현로 68, (북아현동)",서대문구,한식,2023-05-20
백암,,서울특별시 서대문구 연희동  122번지 18호  ,"서울특별시 서대문구 증가로 13-6, (연희동)",서대문구,한식,2023-05-20
연희동손칼국수,,서울특별시 서대문구 연희동  132번지 29호  ,"서울특별시 서대문구 연희맛로 37, (연희동)",서대문구,한식,2023-05-20
선수사,,서울특별시 서대문구 연희동  78번지 43호  ,"서울특별시 서대문구 연희로 177, (연희동)",서대문구,일식,2023-05-20
장군보쌈,,서울특별시 서대문구 남가좌동  291번지 46호  ,"서울특별시 서대문구 수색로 28-5, (남가좌동)",서대문구,한식,2023-05-20
장군보쌈,,서울특별시 서대문구 남가좌동  291번지 46호  ,"서울특별시 서대문구 수색로 28-5, (남가좌동)",서대문구,보쌈,2023-05-20
스윙,,서울특별시 서대문구 창천동  62번지 59호  ,"서울특별시 서대문구 연세로5다길 14, (창천동)",서대문구,광어회,2023-05-20
고향촌,,서울특별시 서대문구 충정로2가  16번지 20호  ,"서울특별시 서대문구 통일로9안길 28-5, (충정로2가)",서대문구,산채비빔밥,2023-05-20
주식회사 신촌형제갈비 2층,,서울특별시 서대문구 창천동  31번지 26호  (지상2층),"서울특별시 서대문구 명물1길 2, (창천동,(지상2층))",서대문구,양념갈비,2023-05-20
주식회사 신촌형제갈비 2층,,서울특별시 서대문구 창천동  31번지 26호  (지상2층),"서울특별시 서대문구 명물1길 2, (창천동,(지상2층))",서대문구,한식,2023-05-20
이디야,,서울특별시 서대문구 창천동  30번지 20호  ,"서울특별시 서대문구 신촌로 87-20, 1,2층 (창천동)",서대문구,낙지볶음,2023-05-20
명물갈비,,서울특별시 서대문구 창천동  2번지 28호  ,"서울특별시 서대문구 명물길 43-3, (창천동)",서대문구,소갈비,2023-05-20
명물갈비,,서울특별시 서대문구 창천동  2번지 28호  ,"서울특별시 서대문구 명물길 43-3, (창천동)",서대문구,한식,2023-05-20
코피티암,,서울특별시 서대문구 대현동  54번지 24호  ,"서울특별시 서대문구 이화여대길 12, (대현동)",서대문구,토스트,2023-05-20
코피티암,,서울특별시 서대문구 대현동  54번지 24호  ,"서울특별시 서대문구 이화여대길 12, (대현동)",서대문구,양식,2023-05-20
육회 꽃피다,,서울특별시 서대문구 창천동  5번지 46호  ,"서울특별시 서대문구 명물길 46, 지하1층 (창천동)",서대문구,삼계탕,2023-05-20
장군보쌈,,서울특별시 서대문구 남가좌동  291번지 46호  ,"서울특별시 서대문구 수색로 28-5, (남가좌동)",서대문구,보쌈,2023-05-20
연희동손칼국수,,서울특별시 서대문구 연희동  132번지 29호  ,"서울특별시 서대문구 연희맛로 37, (연희동)",서대문구,칼국수,2023-05-20
마리,,서울특별시 서대문구 대신동  85번지 3호  ,"서울특별시 서대문구 성산로 529, (대신동)",서대문구,한정식,2023-05-20
무사시,,서울특별시 서대문구 창천동  20번지 99호  ,"서울특별시 서대문구 신촌로 125, (창천동)",서대문구,돈까스,2023-05-20
아름소 순대국 감자탕 삼겹살,,서울특별시 서대문구 연희동  78번지 1호  ,"서울특별시 서대문구 연희로 185, (연희동)",서대문구,참치회덮밥,2023-05-20
고향촌,,서울특별시 서대문구 충정로2가  16번지 20호  ,"서울특별시 서대문구 통일로9안길 28-5, (충정로2가)",서대문구,삼겹살,2023-05-20
유성한우촌,,서울특별시 서대문구 북아현동  1번지 233호  ,"서울특별시 서대문구 북아현로 68, (북아현동)",서대문구,도가니탕,2023-05-20
고기랑,,서울특별시 서대문구 창천동  62번지 66호  1층 전체,"서울특별시 서대문구 연세로5다길 16, 1층 (창천동)",서대문구,낙지전골,2023-05-20
고기랑,,서울특별시 서대문구 창천동  62번지 66호  1층 전체,"서울특별시 서대문구 연세로5다길 16, 1층 (창천동)",서대문구,한식,2023-05-20
율촌,,서울특별시 서대문구 대현동  56번지 4호  ,,,물비빔냉면,2023-05-20
율촌,,서울특별시 서대문구 대현동  56번지 4호  ,,,한식,2023-05-20
삼호복집,,"서울특별시 서대문구 창천동  62번지 11호  (지상2,3층)","서울특별시 서대문구 연세로5다길 10, (창천동,(지상2,3층))",서대문구,복매운탕,2023-05-20
삼호복집,,"서울특별시 서대문구 창천동  62번지 11호  (지상2,3층)","서울특별시 서대문구 연세로5다길 10, (창천동,(지상2,3층))",서대문구,일식,2023-05-20
아름소 순대국 감자탕 삼겹살,,서울특별시 서대문구 연희동  78번지 1호  ,"서울특별시 서대문구 연희로 185, (연희동)",서대문구,일식,2023-05-20
백암,,서울특별시 서대문구 연희동  122번지 18호  ,"서울특별시 서대문구 증가로 13-6, (연희동)",서대문구,순대국,2023-05-20
법성포 영광굴비,,서울특별시 서대문구 홍은동  274번지 35호  2층,"서울특별시 서대문구 모래내로 352, 2층 (홍은동)",서대문구,굴비백반,2023-05-20
법성포 영광굴비,,서울특별시 서대문구 홍은동  274번지 35호  2층,"서울특별시 서대문구 모래내로 352, 2층 (홍은동)",서대문구,,2023-05-20
법성포 영광굴비,,서울특별시 서대문구 홍은동  274번지 35호  2층,"서울특별시 서대문구 모래내로 352, 2층 (홍은동)",서대문구,정식,2023-05-20
연희동 영월,,서울특별시 서대문구 연희동  193번지 17호  2층,"서울특별시 서대문구 연희로 81-21, 2층 (연희동)",서대문구,낙지찜,2023-05-20
연희동 영월,,서울특별시 서대문구 연희동  193번지 17호  2층,"서울특별시 서대문구 연희로 81-21, 2층 (연희동)",서대문구,한식,2023-05-20
선수사,,서울특별시 서대문구 연희동  78번지 43호  ,"서울특별시 서대문구 연희로 177, (연희동)",서대문구,회정식,2023-05-20
연희동태찜,,서울특별시 서대문구 연희동  132번지 43호  ,"서울특별시 서대문구 연희맛로 25, (연희동)",서대문구,동태찜,2023-05-20
연희동태찜,,서울특별시 서대문구 연희동  132번지 43호  ,"서울특별시 서대문구 연희맛로 25, (연희동)",서대문구,한식,2023-05-20
봉추찜닭 신촌점,,서울특별시 서대문구 창천동  2번지 32호  (지하1층~지상1층),"서울특별시 서대문구 명물길 27-23, (창천동,(지하1층~지상1층))",서대문구,찜닭,2023-05-20
봉추찜닭 신촌점,,서울특별시 서대문구 창천동  2번지 32호  (지하1층~지상1층),"서울특별시 서대문구 명물길 27-23, (창천동,(지하1층~지상1층))",서대문구,한식,2023-05-20
내고향 오리김치찌개 전문점,,서울특별시 서대문구 미근동  215번지  의주로2 138-1,"서울특별시 서대문구 충정로6길 59, (미근동,의주로2 138-1)",서대문구,돼지갈비,2023-05-20
내고향 오리김치찌개 전문점,,서울특별시 서대문구 미근동  215번지  의주로2 138-1,"서울특별시 서대문구 충정로6길 59, (미근동,의주로2 138-1)",서대문구,한식,2023-05-20
신촌 장군집,,서울특별시 서대문구 창천동  52번지 32호  1층 일부,"서울특별시 서대문구 연세로9길 22, 1층 (창천동)",서대문구,삼겹살,2023-05-20
쏘렌토,,서울특별시 서대문구 홍은동  366번지 25호  1층 전체,"서울특별시 서대문구 가좌로 114, 1층 (홍은동)",서대문구,스파게티,2023-05-20
풍년갈비,,"서울특별시 서대문구 홍은동  137번지 50호  ,92-3","서울특별시 서대문구 통일로 495, (홍은동,,92-3)",서대문구,,2023-05-20
풍년갈비,,"서울특별시 서대문구 홍은동  137번지 50호  ,92-3","서울특별시 서대문구 통일로 495, (홍은동,,92-3)",서대문구,돼지갈비,2023-05-20
장어세상,,서울특별시 서대문구 북가좌동  371번지 11호  ,"서울특별시 서대문구 수색로10길 11, (북가좌동)",서대문구,등심,2023-05-20
본전회관,,"서울특별시 서대문구 남가좌동  291번지 51호  ,30,45","서울특별시 서대문구 수색로2길 15, (남가좌동,,30,45)",서대문구,부페,2023-05-20
본전회관,,"서울특별시 서대문구 남가좌동  291번지 51호  ,30,45","서울특별시 서대문구 수색로2길 15, (남가좌동,,30,45)",서대문구,갈비탕,2023-05-20
본전회관,,"서울특별시 서대문구 남가좌동  291번지 51호  ,30,45","서울특별시 서대문구 수색로2길 15, (남가좌동,,30,45)",서대문구,돼지갈비,2023-05-20
풍년갈비,,"서울특별시 서대문구 홍은동  137번지 50호  ,92-3","서울특별시 서대문구 통일로 495, (홍은동,,92-3)",서대문구,갈비탕,2023-05-20
